JobTitle,Company,Location,Summary,Salary
Salesforce Feature Analyst,Intellibee Inc,"Bengaluru, Karnataka",Do you have a minimum of 3 salesforce certifications? Job Title: *Salesforce Feature Analyst. Minimum work experience: 5+ years of work experience in IT.,
Digital Data & Identity - Business Process Architect,Colgate-Palmolive,"Mumbai, Maharashtra","Support day to day business requirements according to global SLA. For more information about Colgate’s global business, visit the Company’s web site at http:/…",
Senior Program Manager - India,BMC Software,"Pune, Maharashtra","Researching and leverage secondary sources of data as needed, including industry analyst data, financial analyst data, competitive data, etc.",
Incentive Planning Analyst,Oracle,"Bengaluru, Karnataka",Partner with lines of business in the design of compensation models in the support of strategic business initiatives. Proficient in Excel and Word.,
Jr. Salesforce CPQ (Developer),systems plus,"Mumbai, Maharashtra",Research design and deliver Salesforce solutions for multiple line of business collaborating with analysts and business owners to deliver results in a timely…,
Salesforce Developer,audibene,"Gurgaon, Haryana",Perform deployments requested by the salesforce engineering and business analyst team. Experience with international salesforce instances (optional).,
Salesforce Executive,C G Parivar,"Navi Mumbai, Maharashtra",Worked closely with sales team and business analysts and performed detailed analysis of business and technical requirements and designed the solution by…,
"Execution Analyst, Helpdesk",bp,"Pune, Maharashtra","Performance – facilitating the effective allocation of capital, development of business plans and coordination of ‎business performance interventions to ensure…",
NetSuite Support Analyst x2,YouGov,"Mumbai, Maharashtra","Understanding of accounting procedures and business processes. Understanding of accounting procedures and business processes (P2P, R2R, O2C).",
Advanced Business Analyst - Senior Salesforce Developer,Novo Nordisk,"Bengaluru, Karnataka",Are you enthusiastic about understanding the business and bringing attention to key business challenges? The systems are used on a global scale by all areas of…,
Master Data Management Analyst,Hitachi Vantara Corporation,"Pune, Maharashtra","This role also requires knowledge of internal sales, marketing and business operations processes. Working alongside each customer, we apply our unmatched…",
Salesforce Configuration Analyst,Carrier,"Hyderabad, Telangana","He/She will manage the configuration of Salesforce products to meet business needs and align to business processes in the sales, service, marketing,CPQ, and…",
Technical Analyst - CRM,Cognizant,"Kolkata, West Bengal",Attend selftraining to ensure high standards of communication and business etiquette are maintained always. Cognizant (Nasdaq-100: CTSH) is one of the world's…,
"Sr. Data Engineering Analyst - SSIS ETL, SQL Server - Hyderabad",UnitedHealth Group,"Hyderabad, Telangana",Ability and willing to work outside normal business hours dependent on critical issues. Experience performing root cause analysis on internal and external data…,
"Sr Analyst, IT (Salesforce + Einstein Analytics / DocuSign CLM)",Syneos Health Clinical,"Madhapur, Hyderabad, Telangana","Analyze business processes, configuring CRM out of the box features and custom solutions for specific business needs. Must have strong Sales cloud experience.",
Salesforce Integration analyst,ANI Calls India Private Limited,"Bengaluru, Karnataka","Experience with Salesforce.com's Sales Cloud and CRM/Sales business processes. Serve as a Lead Developer (hands-on) in system design, development, documentation…","₹12,00,000 - ₹20,00,000 a year"
Senior Order Management Analyst,Qualys,"Pune, Maharashtra","A superior problem solver, possessing the initiative to look into the details and interpret the impact of key business drivers.",
Advanced Order Management Analyst,Clarivate Analytics,"Hyderabad, Telangana",Clarivate(tm) is a global leader in providing solutions to accelerate the lifecycle of innovation. Our bold mission is to help customers solve some of the world…,
Associate,Tres Vista,"Pune, Maharashtra",Managing business processes and assisting clients in execution of service processes. Strong grasp of various aspects of pre-sales and business development…,
Salesforce Lightning/CPQ/Cloud Craze,Diverse Lynx India,"Delhi, Delhi","Must poses salesforce certification like Appbuilder, PD1. You should get involved in assignments in large programs, help in defining business and technological…",
Financial Analyst,Nuance,"Bengaluru, Karnataka","Present analysis / dashboards to senior finance and business leaders. Play the role of a functional expert in Oracle, Hyperion and other business reporting…",
Marketing Operations Data Analyst,"Rimini Street, Inc.","Hyderabad, Telangana","Work with 3rd party vendors to meet business data needs. The company is widely recognized by clients, leading industry analysts (including Gartner, Forrester,…",
"Team Lead/Assistant Team Lead, Sales Commission Analyst",Cvent,"Gurgaon, Haryana",8-10 years of experience (ideally in an analyst or lead analyst role) with a strong work ethic. The person should be willing to work in the as per business…,
Salesforce CPQ Business Analyst - Remote,Trantor Software,India,"Leverage business knowledge and expertise to drive business process improvements. Document functional business requirements, process flow diagrams, and business…",
Salesforce Administrator Lead,Automation Anywhere,"Vadodara, Gujarat","Work closely with other developers in the team, business analysts, QA analysts and project managers. Ability to communicate clearly to business partners.",
Senior Data Analyst,ChargePoint,"Gurgaon, Haryana","Collaborate with business to document the data definitions, business rules, and data flow. Since our founding in 2007, ChargePoint has focused solely on EV…",
Salesforce Developer,audibene / hear.com,"Gurgaon, Haryana",Perform deployments requested by the salesforce engineering and business analyst team. Experience with international salesforce instances (optional).,
Planning & Operations Analyst,Coupa,"Pune, Maharashtra","At Coupa, we have a strong and innovative team dedicated to improving the spend management processes of today’s dynamic businesses.",
Systems Administrator 2,PayPal,"Chennai, Tamil Nadu",Partner with business representatives and business analysts to understand their needs. You will also work to understand other business processes internally and…,
Enterprise Technical Analyst/Lead,Arlo,India,Interact with the onshore team to create end-to-end specifications for e-commerce solutions and articulate business need in terms of Business Manager…,
Senior Partner Operations Analyst,"FireEye, Inc.","Bengaluru, Karnataka",Support ad-hoc report developments and updates as per the business requirements. Flexible to working in shifts and extended working hours per business…,
Business Analyst,Ethos HR Management And Projects Private Limited,"Ahmedabad, Gujarat","Minimum 5 years as business analyst or project manager for ecommerce implementation projects. BE or MS in CE/IT, MCA.",
"Analyst, Diversified Markets: Services",TransUnion,"Chennai, Tamil Nadu",2-4 years experience in a rigorous business analyst role. Analyze revenue of particular customers and segments to identify trends or abnormal conditions…,
Lead - Digital Marketing,Thermo Fisher Scientific,"Mumbai, Maharashtra","As leading Digital Marketing operations, you will ensure proper execution of digital marketing campaigns, overseeing project critical success factors, timelines…",
Senior Operational Analysis analyst/Specialist,Edge,"Gurgaon, Haryana",Work with business partners to validate the integrity of data and documents maintained for all Regulatory and Compliance platforms.,
Salesforce Consultant (Business Analyst-OnShore Hours),Maverick Digital,"Noida, Uttar Pradesh",Maverick Digital Services Pvt Ltd helps companies grow by creating deeper connections with more customers. Our team of Mavericks have ushered some of the most…,
"Sr/Staff Business Systems Analyst, Salesforce CPQ",skilora,Remote,5+ years of experience as a business analyst/implementing consultant/solutions architect supporting Salesforce CPQ (Steelbrick) platform.,
Sales Operations Analyst,Morneau Shepell,"Gurgaon, Haryana",Advanced knowledge of internal client database is required to support business growth and direction to CSM teams when needed.,
"Identity Support Analyst, Sr",Qualcomm India Private Limited,"Hyderabad, Telangana","Experience with any provisioning tool (OIM /SUN IDM, salesforce so on). Work with the business, technology, and daily operations to manage competing priorities.",
Sales Operations Automation Consultant,Icertis,"Pune, Maharashtra",Provide continuous development and on-going support focused on enhancements to key business processes and tool challenges. 3+ years of relevant experience.,
Salesforce Architect,Opasa Software Services India pvt. Ltd,"Bengaluru, Karnataka","Collaborating with project teams consisting of Scrum Masters, business analysts, developers and testers to ensure that specified solutions are understood and to…","₹20,00,000 a year"
Global Mobility USI Reporting and Technology Senior Analyst,Deloitte,"Hyderabad, Telangana","Experience with business intelligence tools and technologies. We believe that business has the power to inspire and transform. Info icon-arrow-right""≥.",
Salesforce Administrator,Commvault,"Hyderabad, Telangana","Support unit testing, integration testing and review of business training materials. Assist in the evaluation of AppExchange tools for feasibility and impact to…",
Senior Business Analyst - SAP SD & RAR,Ellucian,"Bengaluru, Karnataka",Flexibility with work hours and experience in working with business users located globally. Work in cross-functional and cross-application teams to achieve…,
Salesforce Developer,fusionSpan,"Hyderabad, Telangana","Work closely with other developers, UX designers, business and systems analysts. Able to multitask and prioritize projects and job functions as per changing…",
Security Analyst,Salesforce,"Hyderabad, Telangana","At Salesforce we believe that the business of business is to improve the state of our world. To get the best candidate experience, please consider applying for…",
Sales Operations Analyst I,EagleView,"Bengaluru, Karnataka","Establish KPIs to measure the effectiveness of key business initiatives. This will include working with Sales leadership to develop, implement and manage the…",
IT Asset Analyst,"Rimini Street, Inc.","Hyderabad, Telangana","The company is widely recognized by clients, leading industry analysts (including Gartner, Forrester, Constellation Research and Nucleus), and financial…",
Senior Business Analyst and Developer,Cloud Boat,"Bengaluru, Karnataka",Demonstrated previous experience of working closely with all business stakeholders (internal and external) defining requirements and providing functional…,
Freelance Salesforce Consultant,UB Technology Innovations,"Chennai, Tamil Nadu","Configure the Client Environment for Lightning DX (install VS code , spin scratch orgs , configure command line ). Convert VF pages into LTNG starting with TIP.","₹5,00,000 - ₹15,00,000 a year"
Associate System Analyst - L1 Support-3,State Street,"Hyderabad, Telangana", Flexibility with schedule and ability to work beyond regular business hours with periodic off hours support required.  Provide periodic off-hours support.,
"Senior Analyst, Sales Commissions",Qualys,"Pune, Maharashtra","A superior problem solver, possessing the initiative to look into the details and interpret the impact of key business drivers.",
"Order Management Analyst (Pune, Ahmedabad or Bangalore)",Exabeam,Remote,"From the CISO to the analyst, Exabeam helps security teams outsmart the odds by adding intelligence to their existing security tools – including SIEMs, XDRs,…",
Salesforce Solution Designer,PepsiCo,"Hyderabad, Telangana","The candidate will work with a variety of people (business partners, scrum masters and technical peers) to ensure that maximum value is delivered to the…",
Salesforce QA,bluCursor Infotech Pvt Ltd,"Indore, Madhya Pradesh","Interact with product management, business analysts and development teams to develop an understanding of the project and testing objectives.","₹8,086 - ₹37,512 a month"
Senior Program Manager - India,BMC Software,"Pune, Maharashtra","Researching and leverage secondary sources of data as needed, including industry analyst data, financial analyst data, competitive data, etc.",
"Sr. Data Engineering Analyst - SSIS ETL, SQL Server - Hyderabad",UnitedHealth Group,"Hyderabad, Telangana",Ability and willing to work outside normal business hours dependent on critical issues. Experience performing root cause analysis on internal and external data…,
Digital Data & Identity - Business Process Architect,Colgate-Palmolive,"Mumbai, Maharashtra","Support day to day business requirements according to global SLA. For more information about Colgate’s global business, visit the Company’s web site at http:/…",
"Sr Analyst, IT (Salesforce + Einstein Analytics / DocuSign CLM)",Syneos Health Clinical,"Madhapur, Hyderabad, Telangana","Analyze business processes, configuring CRM out of the box features and custom solutions for specific business needs. Must have strong Sales cloud experience.",
Salesforce Feature Analyst,Intellibee Inc,"Bengaluru, Karnataka",Do you have a minimum of 3 salesforce certifications? Job Title: *Salesforce Feature Analyst. Minimum work experience: 5+ years of work experience in IT.,
"Analyst, FP&A",Qualys,"Pune, Maharashtra",Provide creative yet logical approaches to solving data and business and process problems. Coordinate across both business teams and FP&A teams to support…,
Compensation & Benefits Analyst,Traction on Demand,"Jaipur, Rajasthan","Degree in human resources, business administration or finance. We are a people-first organization, creating long-term relationships with our clients and growing…",
Analyst,iSOCRATES,"Mysore, Karnataka",The Company has two lines of business: You will focus on developing and supporting data-related efforts tied to sales and marketing campaigns that promote a…,
Experienced Bench Sales Recruiter,Softworld Technologies,"Hyderabad, Telangana","Have 4-5 Years of proven experience in Bench sales in the US IT staffing and consulting Industry, Well versed with marketing bench consultants.","₹3,00,000 - ₹7,20,000 a year"
"Manager, IT Engineering",MINDBODY,"Pune, Maharashtra",The Manager will partner other IT and business teams to help deliver innovative technology and business solutions. Experience with business process analysis.,
"Operations Analyst, Strategy Planning Opeations - Enterprise business Bangalore, Karnataka",VMware Sales,"Bengaluru, Karnataka",Help manage and run regular business management cadence to drive business initiatives with real-time reporting using business intelligence tools and dashboards.,
Sales Analyst,Eteam Info Services Private Limited,"Bengaluru, Karnataka","Must be flexible to work in APAC, EMEA and US business and work in shift as assigned by Manager. Perform problem analysis, triage, correction of issue, and root…",
Data Quality Analyst II,f5,"Hyderabad, Telangana","You will be a part of our comprehensive Data Management function, working closely with business partners across the globe.",
Salesforce Administrator,IHS Markit,"A F Rajokari, Delhi","Work with IT project managers, business analysts, and senior software developers to evaluate project requirements, create technical designs and implement…",
Sales Analyst,NetApp,"Bengaluru, Karnataka",Combination of business analysis and technology implementation experience. Engage business program managers and technical resources when necessary.,
AVP Strategic Consulting,Ranosys Technologies,"Pune, Maharashtra","Assist in business process and operational process mapping. Understand the problem statement RFP, RFI by identifying missing information and guide Business…",
CONTINUOUS IMPROVEMENT ANALYST I,TE Connectivity,"Bengaluru, Karnataka",This is a blended role of business intelligence and project management where you will have high visibility with senior leadership. Benefits start on day one.,
Salesforce and Vlocity Developer,NTT DATA Services,"Noida, Uttar Pradesh","NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting,…",
Business Analyst - CONTINUOUS IMPROVEMENT,TE Connectivity,"Bengaluru, Karnataka", Interpret business needs: Defines and documents customer business functions and processes.  Working with business to identify opportunities for improvement…,
Customer Support Analyst - Technical,Productiv Inc,"Bengaluru, Karnataka","We're seeking a strong Customer support analyst to execute and help customers trouble-shoot issues. CIOs at innovative companies like Square, Equinix, Okta, Fox…",
Manager - Business Analyst,Genpact,"Gurgaon, Haryana","The successful candidate should have considerable knowledge of conducting detailed business analysis, creation of business process documents, leading process…",
Senior Salesforce QA Engineer,Microchip Technology,Karnataka,"The candidate must have enough technical and functional background to communicate to project managers efficiently and effectively, business analysts,…",
Revenue Operations Analyst,MongoDB,"Gurgaon, Haryana",MongoDB is the next-generation database that helps businesses transform their industries by harnessing the power of data. Suite Billing is a plus.,
Nextracker - Sales Analyst,NEXTracker,"Hyderabad, Telangana",MBA or advanced degree in a business or technical field. It's a core part of our business and our operations. Please click here to be redirected to the internal…,
Revenue Operations Analyst,Oracle,"Bengaluru, Karnataka",Provides business practices and processes. This function is equal parts revenue operations and business process. Day-to-day you will:,
Salesforce Sr Developer,RevGurus,"Swargate, Pune, Maharashtra","Collaborate proactively with functional users and analysts, to translate business and integration requirements into configurable component designs and solutions…",
Business Development Representative,Infrrd,"Bengaluru, Karnataka",Conduct high-level conversations with Senior Executives in target accounts to understand business requirements and fit. Let's talk about the don'ts first.,
Technical Support Engineer,Xactly Corporation,"Bengaluru, Karnataka",We address a critical business need: to incentivize employees and align their behaviors with company goals. Xactly Corporation was founded to solve an important…,
"Data Analyst, Growth",AlphaSense,"Pune, Maharashtra",Scale data's impact by onboarding business users to Looker. You possess a deep curiosity and tenacity to understand data and business questions.,
Marketing Manager - India,AVEVA,"Mumbai, Maharashtra","This role is responsible for both Direct business and Partner business Marketing. Owns the India marketing initiatives – short-, mid-, long term plan, that is…",
Senior Data Management Analyst,"FireEye, Inc.","Bengaluru, Karnataka",Flexible to working in shifts and extended working hours per business requirements. Work with different teams of the Sales Operations organization to support…,
Technical Analyst (PV Applications),Vitrana,"Bengaluru, Karnataka","Design, build and configure applications to meet business process and application requirements. Translating and executing business requirements of client into…",
"Associate, Resource Management Office",Coupa,"Pune, Maharashtra","At Coupa, we have a strong and innovative team dedicated to improving the spend management processes of today’s dynamic businesses.",
Salesforce Business Analyst,TeamPlus Staffing Solution Pvt Ltd,"Chennai, Tamil Nadu","Work within an agile environment to develop and document user stories and business process flows. Work with clients and end users to gather, understand, and…",
TOSCA- Automation Test Analyst,Varian Medical Systems,"Pune, Maharashtra","Should possesses good business interaction, excellent communication skills. Prepare constructive and destructive automated test cases ensuring identified…",
Service Logistic Inventory specialist,Cohesity,"Bengaluru, Karnataka",The Service Logistics Inventory Analyst understands the impact of this position to other business functions that depend on the accuracy and efficiency of…,
Associate Data Engineer,Red Hat Software,"Pune, Maharashtra","2+ years of experience working as a data engineer, BI engineer, business or financial analyst, or system analyst in a company with large, complex data sources.",
Principal Financial Analyst,Nuance,"Bengaluru, Karnataka",Present analysis / dashboards to senior finance and business leaders. Our AI-powered solutions empower organizations to transform “business as usual.”.,
Technical Support Analyst,Xactly Corporation,"Bengaluru, Karnataka",We address a critical business need: to incentivize employees and align their behaviors with company goals. Xactly Corporation was founded to solve an important…,
"Team Lead, Software Engineering (Mumbai, IN)","Sparta Systems, Inc.","Mumbai, Maharashtra","Lead in developing applications on the Salesforce/Force.com platform in areas of solution design, efficient and effective development, CI/CD, system performance…",
Project Delivery Analyst,skilora,Remote,Support business case development for additional team resourcing. Experience: 7 - 8 years in SaaS business model( Required ).,
Sales Operations Analyst,Michael Page,"Mumbai, Maharashtra",Must have a minimum of 6-8 years of experience as sales operations / business analyst experience in the healthcare industry.,
Senior Salesforce Business Analyst,Twilio,"Bengaluru, Karnataka",This position is a great role for an experienced business analyst who is looking to take full ownership of process improvement programs and shape product…,
Sales Strategy & Analytics Analyst,Rubrik Job Board,"Bengaluru, Karnataka"," Independent, self-starter, ability to partner with all business levels.  Quickly structure thorough analyses to answer key business questions to drive…",
Sr IT Project Mgmt Specialist,Honeywell,"Gurgaon, Haryana",Strong business acumen to effectively work with business leaders to understand and solve business problems with IT.,
Business Systems Analyst II,f5,"Hyderabad, Telangana","Able to explain Subscriptions as a business model. Understand key business processes, document them, research industry best practices and initiate discussions…",
Lead Consultant - Business Analyst,Genpact,"Noida, Uttar Pradesh","Tracks and shares external trends, standard methodologies, or ideas and then brings them proactively to his/her business partners.",
"Data Analyst, Data Architect",Prodapt,Tamil Nadu,"Data Analyst, Data Architect Jobs In Prodapt Posted On 4th February 2021Company Name: Prodapt Designation: Data Analyst, Data Architect Education : Any Graduate…",
Salesforce Community Developer,Origin Softwares,"Hyderabad, Telangana","Work closely with business analysts, marketing, design, and product management to design and develop. Implement business logic and integration services.",
Senior Salesforce Developer,Palo Alto Networks,"Bengaluru, Karnataka","As the Salesforce Developer, you will interface directly with business users and enterprise BSAs to understand business requirements, define solution…",
Developer,Barclays,"Pune, Maharashtra",Hands-on expertise of salesforce lightening Aura and LWC components. Where applicable work with functional or business areas and SMEs to plan migrations of…,
Business Analyst - Inventory Management,Micron,"Hyderabad, Telangana",Analyze business problems and recommend solutions. Provide an informational perspective to business process improvement. A Master’s Degree in Supply Chain or.,
Salesforce Field Service Lightning Application Developer,Accenture,"Mumbai, Maharashtra","Project Role Description :Design, build and configure applications to meet business process and application requirements. Work Experience :6-8 years.",
Sr Tech Lead,Aristocrat Technologies,"Gurgaon, Haryana",Develop customized solutions within the Salesforce platform to support critical business functions and meet project objectives and company goals.,
Sr./Staff Business Systems Analyst - NetSuite,skilora,Remote,5+ years of experience as a business analyst/implementing consultant/solutions architect supporting Salesforce CPQ (Steelbrick) platform.,
Marketing Manager - India - Field Marketing,Aveva,"Mumbai, Maharashtra","This role is responsible for both Direct business and Partner business Marketing. Owns the India marketing initiatives – short-, mid-, long term plan, that is…",
Digital-Associate Process Manager-SFMC,Eclerx,"Pune, Maharashtra","We improve profitability for their digital businesses. EClerx provides critical business operations services to over fifty global Fortune 500 clients, including…",
Salesforce FSL BSA,Wilco Source Technologies Private Limited,"Chennai, Tamil Nadu",4+ years of experience in Salesforce and business analyst. In-depth understanding of the capabilities and constraints of the SFDC CRM application coupled with…,
Commerce Cloud Consultant,Social Wavelength,"Mumbai, Maharashtra",Ability to understand business requirements from the consulting team / analyst / directly from the customer. Work as part of the largest partner for Salesforce…,
"Senior Analyst , Governance",Cvent,"Gurgaon, Haryana","The analyst will also be asked to provide data and business analysis skills daily, to support data projects. The analyst will liaise directly and independently…",
Integrations Engineer,SUEZ,"Bengaluru, Karnataka",Coordinate with project teams and business analysts to translate detailed specifications into new or enhanced application solutions. Who are we looking for?,
"Lead Business Analyst, SAP Financials","Rimini Street, Inc.","Hyderabad, Telangana",Ability to articulate business requirements clearly and concisely. Configuration of SAP FI CO modules according to business requirements.,
Cloud Analyst Advance,RGF Professional Recruitment,Delhi,Create and document application requirements by working with business counterparts and end users • Manage and perform release management to production through…,
DR99: System Architect Business Solutions (m / w) Magenta Business,QSSOT Technology,"Coimbatore, Tamil Nadu",+ Experience as a business analyst and / or consultant in IT development. Role Description : DR99: System Architect Business Solutions (m / w) Magenta Business.,
Inviting SFDC Business Analysts - Bangalore location,Upgrade HR Consulting,"Bengaluru, Karnataka",One of our esteemed clients is looking out for Business Analysts who have strong experience into Salesforce/SFDC. This is a global customer facing role.,"₹8,00,000 - ₹12,00,000 a year"
"Analyst, Information Security & Privacy",Ralph Lauren,"Bengaluru, Karnataka","Ability to effectively multi-task, prioritize and adapt in a fast-paced, dynamic business environment. The Analyst, Information Security & Privacy role is…",
"ETM - Analyst Bangalore, Karnataka",VMware,"Bengaluru, Karnataka","Experience in administration of Sales coverage definition/ business rules is an added advantage. VMware (NYSE: VMW), is a global leader in cloud infrastructure…",
Senior Analyst - Digital Sales Admin,Merck KGaA,"Bengaluru, Karnataka","We empower you to fulfil your ambitions, and our diverse businesses offer various career moves to seek new horizons. Job Location - Electronic city Bangalore.",
"Manager, Business Intelligence & Data Science",iSOCRATES,"Mysore, Karnataka",The Company has two lines of business: Articulate the insights from the models in business-friendly language and explain the workings of the model for business…,
ESG Research Project Manager,Institutional Shareholder Services,"Mumbai, Maharashtra","ISS ESG is seeking to hire an experienced project manager and business analyst within the global ESG research function to work within our ratings, data strategy…",
Senior BI Analyst,iSOCRATES,"Mysore, Karnataka","The Company has two lines of business: As a BIA, you will be responsible to transform data into insights that drive business value. Ready to relocate to Mysore.",
GTM Technology Analyst,Salesforce,"Bengaluru, Karnataka",At Salesforce we believe that the business of business is to improve the state of our world. Measure and document business results achieved through solution…,
SFDC Developer,Merkle Sokrati,"Pune, Maharashtra","Work closely with customers, business analysts, user interaction designers, and other software engineers to develop new solutions and improve existing ones.",
Security Event Analyst,Salesforce,"Hyderabad, Telangana","At Salesforce we believe that the business of business is to improve the state of our world. In a typical hour, an analyst might examine a malicious email,…",
"Customer and Partner Success Consultant - Kolkata, India",ZINFI SOFTWARE SYSTEMS,"Kolkata, West Bengal",Develop weekly UCM business acumen and actual Administrator skills to earn SME status. Minimum of three-year customer support or business development & client…,
FP&A Analyst - Sales,The Economist Newspaper Limited,"Gurgaon, Haryana",Excellent business analysis and problem solving skills including advanced excel skills. The Sales analyst role will support many functions of the business from…,
Senior Systems Analyst – Sabrix ERP Finance,GE Appliances,"Hyderabad, Telangana",Responsible for resolving critical/complex problems Oracle Core e-Business Suite (EBS) from Sabrix Tax stand port for smooth business functional operation.,
Revenue Operations Analyst,Chargebee,"Chennai, Tamil Nadu",If you’re interested in how subscription businesses can get more efficient. Oversee administration of the CRM and help drive adoption of multiple enterprise…,
ENGINEER,Rockwell Automation,"Bengaluru, Karnataka",This role is the face of IT’s engineering organization to the company and critical to delivering business recognized value.,
"Senior Analyst, Deal Desk",Salesforce,"Bengaluru, Karnataka",At Salesforce we believe that the business of business is to improve the state of our world. The Deal Desk Sr. Analyst will be responsible for delivering deal…,
Sales Operations Analyst,Morneau Shepell,"Gurgaon, Haryana",Advanced knowledge of internal client database is required to support business growth and direction to CSM teams when needed.,
"Identity Support Analyst, Sr",Qualcomm India Private Limited,"Hyderabad, Telangana","Experience with any provisioning tool (OIM /SUN IDM, salesforce so on). Work with the business, technology, and daily operations to manage competing priorities.",
Sales Operations Automation Consultant,Icertis,"Pune, Maharashtra",Provide continuous development and on-going support focused on enhancements to key business processes and tool challenges. 3+ years of relevant experience.,
Salesforce Architect,Opasa Software Services India pvt. Ltd,"Bengaluru, Karnataka","Collaborating with project teams consisting of Scrum Masters, business analysts, developers and testers to ensure that specified solutions are understood and to…","₹20,00,000 a year"
Global Mobility USI Reporting and Technology Senior Analyst,Deloitte,"Hyderabad, Telangana","Experience with business intelligence tools and technologies. We believe that business has the power to inspire and transform. Info icon-arrow-right""≥.",
Salesforce Administrator,Commvault,"Hyderabad, Telangana","Support unit testing, integration testing and review of business training materials. Assist in the evaluation of AppExchange tools for feasibility and impact to…",
Senior Business Analyst - SAP SD & RAR,Ellucian,"Bengaluru, Karnataka",Flexibility with work hours and experience in working with business users located globally. Work in cross-functional and cross-application teams to achieve…,
Salesforce Developer,fusionSpan,"Hyderabad, Telangana","Work closely with other developers, UX designers, business and systems analysts. Able to multitask and prioritize projects and job functions as per changing…",
Salesforce Developer,Solunus,"Hyderabad, Telangana","Design and document technical solutions that are aligned with the clients business objectives. Solunus, a North-American headquartered company, prepares…",
Salesforce Developer,Sarvika Technologies,"Jaipur, Rajasthan","Collaboration is the key as the Salesforce Developer will partner with stakeholders (engineers, business analysts, and salesforce administrators) and will also…",
Digital Data & Identity - Business Process Architect,Colgate-Palmolive,"Mumbai, Maharashtra","Support day to day business requirements according to global SLA. For more information about Colgate’s global business, visit the Company’s web site at http:/…",
Senior Program Manager - India,BMC Software,"Pune, Maharashtra","Researching and leverage secondary sources of data as needed, including industry analyst data, financial analyst data, competitive data, etc.",
"Sr. Data Engineering Analyst - SSIS ETL, SQL Server - Hyderabad",UnitedHealth Group,"Hyderabad, Telangana",Ability and willing to work outside normal business hours dependent on critical issues. Experience performing root cause analysis on internal and external data…,
"Sr Analyst, IT (Salesforce + Einstein Analytics / DocuSign CLM)",Syneos Health Clinical,"Madhapur, Hyderabad, Telangana","Analyze business processes, configuring CRM out of the box features and custom solutions for specific business needs. Must have strong Sales cloud experience.",
Salesforce Feature Analyst,Intellibee Inc,"Bengaluru, Karnataka",Do you have a minimum of 3 salesforce certifications? Job Title: *Salesforce Feature Analyst. Minimum work experience: 5+ years of work experience in IT.,
Senior QA Analyst,Oracle,"Hyderabad, Telangana","Leader in marketing space (by Gartner and other business analysts). Applicants are required to read, write, and speak the following languages: English.",
Marketing Manager – APAC HPC,Altair Engineering,India,"We pride ourselves on a business culture that enables open, creative thinking, and we deeply value our employees and their contributions towards our clients'…",
Senior Pricing Analyst,Advance Auto Parts,"Hyderabad, Telangana","Analytics to drive business insights and deliver business value in the areas of pricing (regular,. Savvy professional with backgrounds across business.",
Solution Architect – Retail,Shell,"Bengaluru, Karnataka","Coach detailed designers and business analysts in projects during their design work. Typical working relationships: IT project managers, product managers,…",
Director IT,Honeywell,"Bengaluru, Karnataka","You will be a key member of the business leadership team, engaging in all aspects of running the business, with a specialization in the use of technology to…",
Technical Writer,Saras Analytics,"Hyderabad, Telangana",Daton is our ETL platform for analysts and developers. Halo transforms silos of eCommerce data into actionable data sets and useful reports that help you grow…,
Commerce Cloud Consultant,Mirum Digital Pvt. Ltd.,"Mumbai, Maharashtra",Ability to understand business requirements from the consulting team / analyst / directly from the customer. Work as part of the largest partner for Salesforce…,
ServiceMax Test Management Expert,Alcon,"Bengaluru, Karnataka",In-depth Functional testing with the ability to author test scripts to ensure business requirements are met. Manage test environment and test data.,
Customer Operations Analyst,Productiv Inc,"Bengaluru, Karnataka",Demonstrate strong business judgment and understanding in reading and interpreting complex vendor contracts. We're seeking a strong Customer Operations analyst…,
Payroll Tax Analyst I,Kronos Incorporated,"Noida, Uttar Pradesh","Provide assistance to business units on payroll tax related inquiries. UKG is currently seeking a customer focused, highly energetic, and experienced individual…",
Senior Sales Operations Analyst,Zscaler,"Bengaluru, Karnataka","The ideal candidate has a passion for data analytics, attention to details, and strategic business acumen of an MBA graduate. Responsibilities/What You’ll Do.",
Enterprise Soln. Specialist,UST Global Singapore Pte Limited,"Noida, Uttar Pradesh",Excellent communication and be able to coordinate with and get Knowledge Transition from Onsite (USA-based) salesforce development teams; and interact with IT…,
Sr Applications Dev Analyst,Honeywell,"Bengaluru, Karnataka",Deliver business value through Right and Fast partnership. Communicate and collaborate with internal technical teams and external business teams: sales;…,
Senior Salesforce Developer,Informatica,"Bengaluru, Karnataka","Recommend best practices to business users and stakeholders. Strong verbal/written communication and data presentation skills, including an ability to…",
Technical Support Analyst - L2,Gainsight,"Hyderabad, Telangana",Gainsight is fast growing tech company revolutionizing Customer Success for businesses. The Customer Success company helps businesses grow faster by reducing…,
Senior Software Engineer (Salesforce Steelbrick CPQ),Palo Alto Networks,"Bengaluru, Karnataka","You will interface directly with business users and enterprise BSAs to understand business requirements, define solution architecture, create technical specs,…",
ANALYST DATA & INSIGHTS II,TE Connectivity,"Bengaluru, Karnataka","This position will conduct analysis and generating business insights of global demand waterfall performance, campaign performance, website activity, product…",
Senior Salesforce QA Engineer Jobs in India,Microchip Technology India Private Limited,India,"The candidate must have enough technical and functional background to communicate to project managers efficiently and effectively, business analysts,…",
