JobTitle,Company,Location,Summary,Salary
Salesforce Development Sales Enablement Practitioner,Accenture,"Chennai, Tamil Nadu",Key Responsibilities : 1: Should be able to lead the offshore team 2 to 3 members and also make technical conversations directly with the client 2: Meeting with…,
"Senior Manager, Customer Success",skilora,Remote,"TELECOMMUTE LOCATION: Remote, United States. We're looking for a Manager, Customer Success to lead the Customer Outcome Assurance organization’s strategic…",
TCoE Operations Manager,Kone,"Pune, Maharashtra",Are you passionate about software testing? Do you have a burning desire to deliver great services to customers and empower teams to high performance and…,
Customer Success Manager,PathFactory,Remote,You will be a combination of product and use case evangelist and project manager. PathFactory helps B2B marketers understand the role of content in the buyer’s…,
Software Engineer - Performance Foundation,Salesforce,"Bengaluru, Karnataka","You will interact with almost all of our engineering organizations, product managers and customers to succeed in engineering. What you’ll be doing….",
Digital Data & Identity - Business Process Architect,Colgate-Palmolive,"Mumbai, Maharashtra",Relocation Assistance Offered Within Country. Do you want to come to work with a smile and leave with one as well? Document knowledge and share best practices.,
Senior Program Manager - India,BMC Software,"Pune, Maharashtra","From core to cloud to edge, BMC delivers the software and services that enable over 10,000 global customers, including 84% of the Forbes Global 100, to thrive…",
Development Manager SFDC,Silverline India,"Bengaluru, Karnataka","Streamlining work from multiple project managers for multiple customers. A DM is the point of contact for the Silverline India team (Developers, Quality…",
Salesforce Administrator Lead,Automation Anywhere,"Vadodara, Gujarat","Work closely with other developers in the team, business analysts, QA analysts and project managers. Automation Anywhere is a global leader in Robotic Process…",
Senior Account Manager,inFeedo,Remote,"Should be proficient in salesforce. Step 3: If all goes well, we’ll we’ll schedule a call with your future manager to deep dive into the role with you and for…",
Assistant Manager - Inside Sales,Ketto,"Mumbai, Maharashtra","What you will be doing. Leading (hiring, training and coaching) a team of Inside Sales representatives as they provide assistance to people looking to receive…",
Salesforce Lightning | 9 to 12 years | Pune,Capgemini,"Pune, Maharashtra",Excellent understanding of Lightning components LWC Aura Experience on API Integration with salesforce. Experience collaborating with business stakeholders…,
Salesforce Business Analyst - Senior Associate - Bangalore,PwC,"Bengaluru, Karnataka",Maintain certifications in selected salesforce products (Sales and Service - Mandatory). A career in our Advisory Service Delivery Centre is the natural…,
Customer Success Manager,Ally.io - India,"Chennai, Tamil Nadu","Ally.io is a B2B SaaS startup that enables to accelerate the business performance using OKRs, used by. 700+ fast growing business and mid to large enterprises…",
Customer Engineer,SWIFT,"Mumbai, Maharashtra",We are looking for a bright Technical Customer Support Engineer to join our global Customer Support Delivery Organisation based in Mumbai.,
Salesforce Testing Test Lead,Accenture,"Pune, Maharashtra","About Accenture: Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive,…",
Deputy Manager/Manager-Sales,Sandvik,"Udaipur, Rajasthan","Sandvik Rock Processing Solutions (SRP) , India has an opening for a. Sandvik holds a world-leading position on the rock processing market, delivering cutting…",
Senior Product Manager - APM,Salesforce,"Hyderabad, Telangana","To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.",
Manager,Gygantech,"Chennai, Tamil Nadu","Location: Chennai, Tamil Nadu, India. Posting Date: 12/11/2018. We are looking for a passionate and experienced Business Operations leader who can translate…",
TCoE Operations Manager,Kone AB,"Pune, Maharashtra",Are you passionate about software testing? Do you have a burning desire to deliver great services to customers and empower teams to high performance and…,
CPQ Salesforce Developer - Senior Associate 2,PwC,"Bengaluru, Karnataka","Una carrera en nuestro Advisory Service Delivery Centre, es la extensión natural de las capacidades de entrega global de clase principal de PwC.",
Project Manager,Intellect Design Arena,"Chennai, Tamil Nadu",Posted on: 05-Feb-2020. SJP Salesforce opening for chennai. Developing customized solutions within the Salesforce platform.,
Release Manager - Digitial IT,Ralph Lauren,"Bengaluru, Karnataka",Looking for a Release manager to support both SFCC and OMS builds. Lead processes and maintain the Ralph Lauren US & EU code merge across platforms.,
Salesforce Developer,Techila Global Services,"Noida, Uttar Pradesh"," Follow standard coding practices, keeping custom code organized, readable, maintainable, and documented.  Apply change management processes for documenting,…",
Manager Sales ( Europe region),Vyom Labs,"Pune, Maharashtra",EXPERIENCE : 7 to 10 Years. Will be assigned with yearly sales target which he will have to fulfill. Experience selling Salesforce services or other ERP or…,
Engagement Manager,AWS ProServe IN - Telangana,"Hyderabad, Telangana",§ 12+ years’ experience leading the delivery of enterprise-level IT consulting projects. § Prior track record for delivering fixed-fee projects.,
"Application Specialist - Upstream Single Use Solutions, Western India",Cytiva,"Pune, Maharashtra","Help us improve access to life-changing therapies that can transform human health. We are Cytiva, a global provider of technologies and services that advance…",
Job Opening for Salesforce Project Manager,Team Ace HR LLP,"Hyderabad, Telangana",Job Description:- A highly professional IT Services company headquartered in UK with business operations in Middle East & India is expanding to offer Salesforce…,
Assistant Manager - Salesforce Business Analyst,Genpact,"Noida, Uttar Pradesh","Your job will include collaborating across the organization with business, architects, UX experts, product managers and other software developers.",
Associate Customer Support Analyst,EFI,India,All of us at EFI are relentlessly focused on just one thing: the growth and success of the print business. That’s why tens of millions of print professionals…,
Salesforce Marketing Cloud Specialist,Grazitti,"Panchkula, Haryana","Immediate reporting to the reporting manager/supervisor related to incidents, suggestions, issues related to ISMS.",
Salesforce Developer,Traction on Demand,"Jaipur, Rajasthan","Working closely with clients and project managers to determine project requirements. As a Developer, you will be responsible for customizing, developing and…",
Accounts Receivable Specialist (International),MongoDB,"Gurgaon, Haryana",The team is led by the Order-to-Cash manager. What on Earth is MongoDB? Only the coolest collection of dreamers and doers who share a steadfast passion for…,
Growth and Partnerships Manager (India Office),Cialfo,"Noida, Uttar Pradesh","Cialfo is a global company that connects communities. Around the world, students, counselors, parents, and college representatives use Cialfo to hope, dream and…",
"Manager, Software Developer in Test",Q2ebanking,"Bengaluru, Karnataka",Drive overall quality of a product/project design that may cross multiple teams within business unit. Define overall product/project testing strategy and…,
Salesforce Commerce Cloud - Associate,Publicis Sapient,"Gurgaon, Haryana","Publicis Sapient is a digital transformation partner helping established organizations get to their future, digitally-enabled state, both in the way they work…",
Salesforce Development Engineer,Hewlett Packard Enterprise,"Chennai, Tamil Nadu","Able to collaborate with project managers, end users and other developers. He /She may design, code, and test salesforce applications to meet the business…",
Digital-Senior Process Manager-SFMC,Eclerx,"Pune, Maharashtra",Salesforce Marketing Cloud – Senior Process Manager. India | Full-time (FT) | Digital. Shift Timings - EMEA SHIFT (1 p.m. to 10 p.m.).,
IT Senior Solution Lead,Stryker Corporation,"Gurgaon, Haryana",Dedicated achievers: People who thrive in a fast-paced environment and will stop at nothing to ensure a project is complete and meets regulations and…,
SaaS - Marketing Manager,Starr365.com,"New Delhi, Delhi",Starr365.com is a Australian Start Up. This is an exciting opportunity for an experienced SaaS Product Manager to grow the product and maximise its commercial…,"₹20,000 - ₹40,000 a month"
Salesforce Sr Developer,RevGurus,"Swargate, Pune, Maharashtra",This is an exciting opportunity to join a high performing team and apply your Salesforce development knowledge and technical expertise as a “Salesforce Sr…,
Applications Analyst,Viavi Solutions,"Pune, Maharashtra","The Application Engineer will work directly with VIAVI customers, salesforce and Product Managers to gather and. VIAVI’s enterprise software development team.",
"Technical Support Manager Bangalore, Karnataka",VMware GSS,"Bengaluru, Karnataka","VMware is the global leader and innovator in enterprise-grade Mobile Security, Mobile Device Management, Mobile Application Management, Mobile Email Management,…",
"Functional Admin Analyst, GC Operations",Fidelity International,"Gurgaon, Haryana","Operating in more than 25 locations and with $611.4 billion in total assets, our clients range from central banks, sovereign wealth funds, large corporates,…",
Associate,Tres Vista,"Pune, Maharashtra","Founded in 2006, TresVista has been the leading provider of high-end outsourced support for asset managers, entrepreneurs & corporates for over a decade.",
TCoE Demand Manager,KONE,"Pune, Maharashtra",Are you passionate about software testing? Do you have a burning desire to help people to understand how testing can best be implemented and then aid in getting…,
Technical Recruiter,VDX.tv,Remote,Experience building strategic partnerships with hiring managers and cross-functional team members. We're looking for an experienced Technical Recruiter to join…,
Technical Lead - Salesforce,Barclays,"Delhi, Delhi","Job Title : Technical Lead - Salesforce. Understanding of campaign management process, managing end to end email campaign build and delivery on Sales force…",
Technical Lead - Salesforce,Barclays,"Delhi, Delhi","Job Title : Technical Lead - Salesforce. Understanding of campaign management process, managing end to end email campaign build and delivery on Sales force…",
Salesforce Apttus CPQ Application Developer,Accenture,"Gurgaon, Haryana",Key Responsibilities : a Apttus CPQ developer Develop customized solutions within the Salesforce platform to support critical business functions and meet…,
Manager Technical Writing,Salesforce,"Hyderabad, Telangana",Partnering with other cross-functional managers in Hyderabad to ensure the success of your product areas. Supporting a positive and inclusive team feeling for…,
Customer Success Manager/Director(Marketing cloud),Salesforce,"Mumbai, Maharashtra","They act as the coach of the customer relationship leveraging the full power of Salesforce by bringing in technical experts, success managers, executive…",
"Senior Manager - Financial Planning and Analysis - Bangalore, India",MPOWER Financing,"Bengaluru, Karnataka",MPOWER enables students from around the world to realize their full academic & career potential by attending top universities in N. America.,
CIEL/SEL/16728: QA Manager - Salesforce,CIEL HR Services,"Hyderabad, Telangana",The quality manager will work with IT release management and IT development teams to ensure quality at all stages of software/system development life cycle.,
Area Sales Manager-FMCG,ELYSIAN CORPTECH,"Patna, Bihar",Specialized licenses or certificates may be required for some area manager positions in highly technical industries. Expected Start Date: 1/2/2021.,"₹30,000 - ₹35,000 a month"
"Assistant Manager Business Solution Analyst, IT",adidas,"Gurgaon, Haryana",Implementation and management of various digital initiatives for adidas across Emerging Markets to improve consumer experience and efficiency of business users…,
Salesforce and Vlocity Developer,NTT DATA Services,"Noida, Uttar Pradesh","NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. Experience in SQL query writing.",
National Account Manager,Engagedly Labs,"Bengaluru, Karnataka",This National Account Manager will play an instrumental role in driving growth for the business by strategically prospecting and working with our current…,
Marketing Cloud - Salesforce Developer - Senior Associate - Bangalore,PwC,"Bengaluru, Karnataka","Experience designing and implementing technology-enabled business solutions in client-facing and team leadership roles (e.g. technical lead, functional lead,…",
Senior Accounts Receivable Specialist,IntegriChain,"Pune, Maharashtra",The Senior Accounts Receivable Specialist will report to the Accounts Receivable Manager and finance team and will be responsible for assisting with contract…,
Renewals Manager - Tableau,Salesforce,"Hyderabad, Telangana","To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.",
Agency Manager/Strategic-Alliances Manager,VISUAL WEBSITE OPTIMIZER,India,Wingify is looking for a leader who would be responsible for scaling enterprise revenue growth in the organization. What does the role entail?,
Associate Customer Success Manager,Catchpoint,"Bengaluru, Karnataka",Catchpoint is seeking a customer-obsessed and highly-motivated problem solver to join our Customer Success Team. Proficiency with MS Office and Salesforce.com.,
Associate Support Engineer,Duck Creek Technologies,"Mumbai, Maharashtra",The Associate Support Engineer will assist the Product Support team in building relationships with the client team by responding to software questions and…,
Salesforce Technical Lead,dazeworks technologies,"Kochi, Kerala",The ability to lead and communicate with project managers and other IT professionals is a must. We are looking for a person who can create a technical vision in…,
Application Architect: Salesforce,IBM,"Pune, Maharashtra",Should be a good team manager with ability to drive and motivate the team who is responsible for delivery. That means we’re able to scale customer experience…,
Product Manager – Customer Adoption,Saviynt,"Bengaluru, Karnataka","Saviynt is a leading provider of Cloud Security and Identity Governance solutions. Saviynt enables enterprises to secure applications, data, and infrastructure…",
Assistant Manager / Manager - Finance,"Rimini Street, Inc.","Hyderabad, Telangana","Rimini Street, Inc. (Nasdaq: RMNI) is a global provider of enterprise software products and services, the leading third-party support provider for Oracle and…",
Assistant Manager - Revenue Assurance,Zscaler,"Chandigarh, Chandigarh","For over 10 years, Zscaler has been disrupting and transforming the security industry. Our 100% purpose-built cloud platform delivers the entire gateway…",
"Senior Manager – Finance, Pricing & Accounts",BCD Travel Corporate,"Mumbai, Maharashtra","Perform any other related task as directed by your manager. For travel and procurement managers, it means advising them on how to grow the value of their travel…",
Customer Success Manager,Preludesys,"Chennai, Tamil Nadu",To be part of our Salesforce practice and work with customers in different geographies who consume our OnDemand services.,
Salesforce Developer,Fusion Global Business Solutions,"Indore, Madhya Pradesh","Fusion ,one of the world’s largest BMC Elite partner and leading BSM solutions partner is looking for a Salesforce Developer to work with us on a full-time…",
Digital Product Owner,Michelin,"Pune, Maharashtra","She/He will be involved on the Community Cloud Products lifecycle (maintenance, evolution, new projects). As an expert of the digital product, he /she insures…",
Enterprise sales manager - (ME/SEA/APAC),Wise Monk,"Gurgaon, Haryana","Provide accurate and timely information as required to project managers, the delivery team and senior management. (English Literature and Language; Math).","₹10,00,000 a year"
Sr Cust Exp Specialist,Honeywell,"Gurgaon, Haryana","Work closely with the immediate manager for all performance, learning, and development aspect. Join a team recognized for leadership, innovation and diversity.",
QA Manager,C P Careers Private Limited,"Chennai, Tamil Nadu","Required 10-15 years of Functional & Non-Functional Testing experience. Required - SFDC certifications (Administrator, App Builder, Sales Cloud, Service Cloud,…","₹20,00,000 - ₹25,00,000 a year"
Business Development Manager - Gas & Electrical Specialist,BSI,India,Great that you're thinking about a career with BSI! Sector: Gas and Electrical Products. Do you believe the world deserves excellence?,
Sales Development Representative - Manager,Kovai.co,"Coimbatore, Tamil Nadu","Kovai.co is looking for a high energy, results-driven and a dynamic Sales Development Representative – Manager. Present our company to potential prospects.",
Sales Development Representative - Manager,Kovai.co,"Coimbatore, Tamil Nadu","Kovai.co is looking for a high energy, results-driven and a dynamic Sales Development Representative – Manager. Present our company to potential prospects.",
Strategic Engagement Manager,Gainsight,"Hyderabad, Telangana","Gainsight™ is a venture-backed, fast growing tech company revolutionizing Customer Success for businesses. The Customer Success company helps businesses grow…",
Account Manager,EzappSolution,"Gurgaon, Haryana","We are looking for an Account Manager to create long-term, trusting relationships with our customers. The Account Manager’s role is to oversee a portfolio of…",
Salesforce DevOps Architect/Release Manager (Copado a huge plus) (REMOTE),Blue5Green LLC,"Chennai, Tamil Nadu","At Blue5green, we help clients to be successful in their Salesforce DevOps journey by creating ‘integrated experiences’ for every team member.",
Salesforce Commerce Cloud Developer,High Career,"Bengaluru, Karnataka","Knowledge of JS build engines like gulp or webpack, release manager experience; Urgent hiring for the position of Salesforce Commerce Cloud Developer *.","₹10,00,000 - ₹25,00,000 a year"
"Campaign Manager, Media Trading",iSOCRATES,"Mysore, Karnataka","Mentor junior Adops analyst and campaign managers. Employer: iSOCRATES MAdTech Private Limited. ISOCRATES advises on and manages data-driven, mission-critical…",
Senior Marketing Manager,Media 7,"Viman Nagar, Pune, Maharashtra","Media 7 is looking for an ideal candidate who can build and execute high impact, data driven marketing programs across its vast network of 31 publishing…",
Major Account Mgr II,f5,"New Delhi, Delhi",Come work at a place where innovation and teamwork come together to support the most exciting missions in the world! This is a quota carrying role .,
Manager Architect-Solution Arch,legatohealth.com,"Bengaluru, Karnataka",Strategy & roadmap: collaborate with Executive Team and Department Managers to deliver product strategy and build short and long-term product plans.,
Salesforce Lightning Tech Leads/Architects,TechDigital India Private Limited,"Kolkata, West Bengal",Work with project managers to provide flexible approaches for non-standard client. Refining solutions designed in the Sales Process to meet learnings gained in…,
SFDC Architect,NTT DATA Global Delivery Services Limited,India,"NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. Com Developer (401) Certification is mandatory.",
"Assistant, Development (Fundraising)",TeachForIndia,"Mumbai, Maharashtra","The Assistant, National Development (Fundraising), will play a crucial role in enabling the National Development team to analyse and forecast Teach For India’s…",
Functional Manager,ANI Calls India Private Limited,"Hyderabad, Telangana","Experience with enterprise tools, such as Customer Relationship Management (Salesforce preferred), HCM, ERP, and other COTS solutions.","₹8,00,000 - ₹14,00,000 a year"
Business Development Manager,The Coin Republic,"Bhopal, Madhya Pradesh","Team is focused on building and scaling the advertising business for a top social media platform through a combination of marketing, customer acquisition, and…","₹20,000 a month"
Sales Manager,yaxis,"Hyderabad, Telangana","Excellent interpersonal and communications skills, with the ability to successfully work with cross-functional teams, clients, and peer managers.",
"Manager, Business Intelligence & Data Science",iSOCRATES,"Mysore, Karnataka","Reports to: Sr. Director, Delivery. ISOCRATES advises on and manages data-driven, mission-critical MAdTech platforms, technologies and processes as the Global…",
"Senior Manager, Development (Fundraising)",TeachForIndia,"Mumbai, Maharashtra","Serve as the primary relationship manager for long-term and high-potential donors (CSR, Foundations, and Individuals). What Teach For India Can Offer You.",
Job Opening for Salesforce Sales Manager,Team Ace HR LLP,"Mumbai, Maharashtra",Job Description:- An opportunity in a leading IT Company. Work Experience - 8 to 10 years. Notice Period - Immediate candidates preferred.,
Consumer Small Business(CSB ) Tools Transformation Project Manager (PM),Dell Technologies,"Bengaluru, Karnataka","In an ever-changing world and market, Consumer and Small Business is a dynamic and exciting environment to enable new capabilities, deal with fast-paced…",
Systems and Connectivity Support Engineer,Cepheid,"Gurgaon, Haryana","Job Title: Systems and Connectivity Support Engineer. Date Written: Jan 7, 2021. Job Profile (Level-Job Family): P1 - Technical Customer Support.",
Salesforce Developer,OneOrigin,"Bengaluru, Karnataka","Meet the project managers to determine CRM needs. As a member of our team, you shall collaborate closely with other project managers, developers and…",
Salesforce Developer - Senior Associate - Bangalore,PwC,"Bengaluru, Karnataka",A career in our Advisory Service Delivery Centre is the natural extension of PwC’s leading class global delivery capabilities. Experience : 6 to 8 Years.,
Sales Manager,Lutron Electronics,"Bengaluru, Karnataka","Lutron Electronics Co., Inc has an immediate opening for a Sales Manager- Residential Business, South India. Enable & empower channel to promote Lutron business…",
Assistant Manager - Sales,Tata Communications,"Pune, Maharashtra","The Digital Sales Representative (DSR) is accountable for proactively prospecting new business opportunities, up-selling to existing customers and exceeding…",
Manager - Salesforce Consultant - RED Edge Architect - Bangalore,Vodafone,"Bengaluru, Karnataka","Within his/her key accountability, the Business Solutions Designer will interact with the business, finance, Supply chain, the domain leads, the test managers…",
Customer Support Manager_Noida Office,EPAY Systems,"Noida, Uttar Pradesh","EPAY Systems, Inc., a growing SaaS provider of human capital management solutions, is seeking an exceptional Customer Support Manager to work at our Noida…",
Publicity Assistant,Spectrum NJ,"Mumbai, Maharashtra","In this role, you will support the implementation of marketing campaigns for a book series in the children / Young Adult genre with the goal of generating…","₹8,783 - ₹30,218 a month"
Account Manager,Tejarat Marketing,"Noida, Uttar Pradesh","We are looking for an Account Manager to create long-term, trusting relationships with our customers. The Account Manager’s role is to oversee a portfolio of…","₹18,000 - ₹25,000 a month"
"Customer Success Operations Manager, EMEA",PubMatic,"New Delhi, Delhi",PubMatic is a publisher-focused sell-side platform for an open digital media future. Featuring leading omni-channel revenue automation technology for publishers…,
Enterprise Account Manager- India,Pluralsight,India,"Just like sales leaders have Salesforce, technology leaders have Pluralsight. We are democratizing technology skills and as every company becomes a tech company…",
Release Program Manager,ADCI HYD 13 SEZ,"Hyderabad, Telangana",5+ years experience in agile program management in a fast paced environment. 5+ years experience working cross functionally with tech and non-tech teams.,
Sales Development Representative,inFeedo,Remote,"Step 3: If all goes well, we’ll schedule a call with your future manager to deep dive into the role with you and for you to show off your skills through a small…",
Lead Generation Specialist,ISPG Technologies,"Kochi, Kerala","The Sales Lead Generation Specialist is responsible for prospecting, qualifying, and generating new sales leads to support the Sales Directors.","₹27,000 a month"
Billing Analyst (International),MongoDB,"Gurgaon, Haryana",The team is led by the Order-to-Cash manager. What on Earth is MongoDB? Only the coolest collection of dreamers and doers who share a steadfast passion for…,
Data Operations Manager,Athenahealth,"Chennai, Tamil Nadu","Join us as we work to create a thriving ecosystem that delivers accessible, high-quality, and sustainable healthcare for all.",
Program Manager(non Technical) 2,Xactly Corporation,"Bengaluru, Karnataka","Meet with and build relationships with all Support managers to understand their goals and challenges. As Project manager/Analyst at Xactly Corporation, you’ll…",
Business Development Manager,Hughes and Hughes chemical limited,"New Delhi, Delhi",Proven working experience as a business development manager. Develop a growth strategy focused both on financial gain and customer satisfaction.,"₹30,000 - ₹35,000 a month"
Regional Account Manager,NETSCOUT,Remote,The Account Manager is expected to meet and exceed quarterly sales quota by developing new opportunities within specific set of accounts within given…,
Senior Software Database Developer,Citi,"Pune, Maharashtra",You will work in partnership with project manager/BA and business stakeholders to understand requirement. Citi is seeking highly motivated candidates for an…,
Salesforce Commerce Cloud Developers,GSPANN Technologie,"Hyderabad, Telangana",Summary: GSPANN is looking for passionate and talented Salesforce Commerce Cloud Developers to join our growing family. SFCC certification would be preferred.,
Salesforce Commerce Cloud | 6 to 9 years | Bengaluru & Mumbai,Capgemini,"Bengaluru, Karnataka","Experience in design and development of third party (backend) integration, and should be able to implement the new cartridge for new vendors with SOAP or Rest…",
Regional Channel Manager - India,OutSystems,"Bengaluru, Karnataka","One of the fastest growing B2B software companies in the world, OutSystems is on a mission to change the way software is built. What we have to offer you?",
Senior Product Manager,Agara,"Bengaluru, Karnataka",Covid has thrown the world in disarray and it will never be the same again. Around the world are looking towards automation of cognitive tasks to help them be.,
Technical Lead - Salesforce,Community Brands,"Pune, Maharashtra",Aptify is now part of Community Brands. Community Brands is a software company that helps organizations achieve social good. In this role you’ll:,
Product Manager - eCommerce,McAfee,"Bengaluru, Karnataka","At McAfee, our mission is to relentlessly protect all that matters through leading edge cybersecurity, from your workplace to your home and everywhere in…",
Salesforce Technical Lead,JK Technosoft,"Bengaluru, Karnataka","Work closely with technical project managers and various business stakeholders to drive and/or facilitate development of requirements, specifications, and use…",
Email Marketing / Marketing Automation Manager,Brandloom,"Pune, Maharashtra",BrandLoom Consulting is looking for an experienced Email Marketing / Marketing Automation Expert to join our team! This is an individual contributor role.,
Customer Success Manager,Maropost,"Mohali, Punjab",Interested in working for Canada’s 4th fastest growing tech company as named by Profit 500?! Maropost is looking for a Customer Success Manager to join our…,
Manager - Partner and Channel Sales,AutoRABIT Holding Inc.,"Hyderabad, Telangana","AutoRABIT is the leader in DevOps (which is evolving into DevSecOps) and CI/CD for SaaS platforms such as Salesforce. The company is in San Ramon, CA location.",
Client Success Manager - US Shift,Vantage Circle,"Guwahati, Assam","Are you an energetic, motivated, and articulate team player who is passionate about Client Success and Customer Experience? Prepare reports on account status.",
Salesforce |CRM/CPQ - Configuration Engineer,CommerceCX,"Hyderabad, Telangana","Collaborate with developers, product managers, subject matter experts, and users to communicate the proposed solution vision and analyze tradeoffs between…",
Assistant Manager - Expense allocations,State Street,"Bengaluru, Karnataka","Driven by the Beacon initiatives, functionalization of the corporate functions and re-alignment of the Finance Operating Model, State Street has established the…",
Service Logistic Inventory specialist,Cohesity,"Bengaluru, Karnataka",Cohesity Bringing Google-Like Simplicity to Data Management: One Platform. Cohesity eliminates mass data fragmentation with one web-scale data management…,
Database Marketing Manager,Gartner,"Mumbai, Maharashtra","What makes Gartner Conferences a GREAT fit for you? When you join Gartner, you'll be a part of a team that serves thousands of business and technology leaders…",
Master Data Management Analyst,Hitachi Vantara Corporation,"Pune, Maharashtra","Hitachi Vantara, a wholly-owned subsidiary of Hitachi, Ltd., guides our customers from what's now to what's next by solving their digital challenges.",
Sales Operations Manager,Replicon,"Bengaluru, Karnataka","Replicon is currently looking for a Sales Operations Manager or its Global Sales Operations function. Reporting to the Director of Sales Operations, the…",
Manager Of Customer Success,skilora,Remote,"Olo powers digital ordering and delivery programs that connect restaurant brands to the on-demand world, placing orders directly into the restaurant through all…",
Software Developer,Institutional Shareholder Services,"Mumbai, Maharashtra","Our clients include over 1,000 of the most prominent names in the asset management industry, including 83 of the world's 100 largest fund managers.",
Associate Product Manager – Customer Engagement,Saviynt,"Bengaluru, Karnataka","Saviynt is a leading provider of Cloud Security and Identity Governance solutions. Saviynt enables enterprises to secure applications, data, and infrastructure…",
Product Information Management Specialist,Videojet,"Mumbai, Maharashtra","PIM (Product Information Management) Specialist. Job Title: Product Information Management Specialist. Hiring Manager: Global Manager, Web Content.",
Specialist,Larsen & Toubro Infotech Limited,"Hyderabad, Telangana","Deliver full lifecycle ServiceMax implementations from inception to roll-out with the ability to lead and manage developers (internal, partner, and clients)…",
"Associate, City Development",TeachForIndia,"Pune, Maharashtra",The City Development Associate is responsible for raising funds for the Pune operations of Teach For India and making the site financially sustainable.,
Customer Support Associate,skilora,Remote,Are you ready to take the next leap in technical knowledge and act as a key team resource? Cogito is searching for a Customer Support Associate to join our…,
Business Development Manager (BDM),KAG INDIA PVT. LTD.,"Salem, Tamil Nadu","Proven working experience as a business development manager, sales executive or a relevant role. We are leading Tiles Manufacturing and selling company, Head…","₹35,000 a month"
IT Solutions Manager,Elements,"Delhi, Delhi","We, Elements Global Services who was recently listed on the Financial Times as the 4th Fastest Growing Company in Europe, is expanding our business lines.",
Technical Project Manager,SpringML,"Hyderabad, Telangana",Experience giving presentations to manager levels and above & be comfortable speaking publicly. SpringML's mission is to help customers accelerate time to…,
Territory Manager Sales – Academic & Higher Education (Bangalore),Cambridge University Press,"Bengaluru, Karnataka",Territory Manager Sales – Academic & Higher Education (Bangalore). Cambridge University Press India Pvt. Ltd. Regular follow up on leads.,"₹8,00,000 - ₹9,00,000 a year"
Business Development Manager,SimbaQuartz,"Amritsar, Punjab","Proven working experience as a business development manager, sales executive or a relevant role. We are looking for Business Development Manager for Our IT…","₹20,000 - ₹50,000 a month"
Salesforce Administrator,IHS Markit,"A F Rajokari, Delhi","Work with IT project managers, business analysts, and senior software developers to evaluate project requirements, create technical designs and implement…",
Campaign Manager - Deal Desk,PubMatic,"Pune, Maharashtra",PubMatic is a publisher-focused sell-side platform for an open digital media future. Featuring leading omni-channel revenue automation technology for publishers…,
Mulesoft Cloudhub Openings in Pune,ICS Consultancy Services,"Pune, Maharashtra",Must have Skills : Mulesoft Cloudhub Good to Have Skills : No Technology Specialty Job Requirements : Key Responsibilities : a Responsible for RAML designs and…,"₹10,00,000 - ₹25,00,000 a year"
Client Relationship Manager,The Big O,"Jaipur, Rajasthan",Proven experience as a Client Relations Manager or Relationship Manager. Proven track record of meeting and exceeding targets. Ability to work well with a team.,"₹8,000 - ₹25,000 a month"
Sales Manager,Y- AXIS OVERSEAS,"Hyderabad, Telangana","Excellent interpersonal and communications skills, with the ability to successfully work with cross-functional teams, clients, and peer managers.",
Lead Generation Manager,GTechwebindia,"Possangipur, Delhi","Gtechwebindia is seeking an experienced Lead Generation Manager to deliver qualified leads for our sales organization. S, U.K and AUS prospects.",
Office Assistant,ChildFund India,"Mumbai, Maharashtra",Division/Department: Individual Resource Mobilization. Reporting To: Manager- Individual Resource Mobilization. Responsible for Dusting of office.,"₹25,149 a month"
Office Assistant,ChildFund India,"Mumbai, Maharashtra",Division/Department: Individual Resource Mobilization. Reporting To: Manager- Individual Resource Mobilization. Responsible for Dusting of office.,"₹25,149 a month"
Mulesoft Cloudhub Jobs in Pune,ICS Consultancy Services,"Pune, Maharashtra",Must have Skills : Mulesoft Cloudhub Good to Have Skills : No Technology Specialty Job Requirements : Key Responsibilities : a Responsible for RAML designs and…,"₹10,00,000 - ₹25,00,000 a year"
Senior Consultant – Salesforce Developer,Invenio Business Solutions,"Hyderabad, Telangana","Having Experience in integrating salesforce with external application using third party tools via SOAP and Rest Integrations. B Tech, M Tech, MCA, Postgraduate.",
Salesforce Project Manager,Dreamstel Technologies,"Noida, Uttar Pradesh","5+years' experience in Sales Project Manager. Experience implementing Small, Medium and Enterprise scale Salesforce solutions.",
Senior Salesforce Developer,Lirik Inc,"Gurgaon, Haryana","Interact directly with clients, managers and end users as necessary to analyze project objectives and capability requirements, including specifications for user…",
Product Manager (Hyderabad),Celigo,"Hyderabad, Telangana","Grading - Mid to Senior Level Position. At Celigo, we are pioneering the future of application integration with novel new strategies, cutting edge technologies,…",
Content Manager,Hogarth Worldwide,"Chennai, Tamil Nadu","Hogarth Worldwide, Chennai is looking for Content Managers to support the Global Marketing team in: Saving RFPs immediately after submission/pitch presentation.",
ERP Project Manager,Emipro Technologies,"Rajkot, Gujarat","Qualification: MBA with BE, BTech, MCA. At Emipro, Project Manager will be responsible for assisting our customers with the design and deployment of their Odoo…",
